2007-06-01 00:00:00  100 2
-0.0 73.394 1.082 0.061
-0.067 73.634 1.086 0.061
-0.137 73.775 1.088 0.061
-0.212 73.875 1.089 0.061
-0.292 73.954 1.09 0.061
-0.376 74.02 1.091 0.061
-0.464 74.079 1.092 0.061
-0.558 74.132 1.093 0.062
-0.658 74.181 1.094 0.062
-0.763 74.227 1.094 0.062
-0.875 74.272 1.095 0.062
-0.992 74.316 1.096 0.062
-1.117 74.36 1.096 0.062
-1.249 74.405 1.097 0.062
-1.388 74.45 1.098 0.062
-1.535 74.497 1.098 0.062
-1.69 74.546 1.099 0.062
-1.853 74.598 1.1 0.062
-2.026 74.652 1.101 0.062
-2.209 74.709 1.101 0.062
-2.401 74.77 1.102 0.062
-2.604 74.835 1.103 0.062
-2.817 74.904 1.104 0.062
-3.042 74.977 1.105 0.062
-3.279 75.056 1.107 0.062
-3.528 75.14 1.108 0.062
-3.79 75.23 1.109 0.062
-4.065 75.327 1.111 0.063
-4.355 75.431 1.112 0.063
-4.658 75.544 1.114 0.063
-4.977 75.669 1.116 0.063
-5.311 75.806 1.118 0.063
-5.661 75.951 1.12 0.063
-6.028 76.102 1.122 0.063
-6.411 76.253 1.124 0.063
-6.812 76.398 1.126 0.063
-7.231 76.529 1.128 0.064
-7.668 76.644 1.13 0.064
-8.124 76.746 1.132 0.064
-8.598 76.84 1.133 0.064
-9.092 76.929 1.134 0.064
-9.606 77.011 1.136 0.064
-10.139 77.089 1.137 0.064
-10.692 77.162 1.138 0.064
-11.265 77.23 1.139 0.064
-11.858 77.295 1.14 0.064
-12.471 77.357 1.141 0.064
-13.104 77.415 1.142 0.064
-13.757 77.471 1.143 0.064
-14.428 77.527 1.144 0.064
-15.119 77.585 1.145 0.064
-15.828 77.645 1.146 0.065
-16.555 77.717 1.147 0.065
-17.299 77.827 1.149 0.065
-18.059 78.01 1.151 0.065
-18.835 78.499 1.159 0.065
-19.625 79.55 1.175 0.066
-20.429 80.462 1.189 0.067
-21.245 81.145 1.198 0.068
-22.072 82.122 1.21 0.069
-22.909 80.411 1.174 0.067
-23.755 66.214 0.892 0.052
-24.608 61.638 0.803 0.047
-25.466 60.064 0.772 0.045
-26.328 59.309 0.758 0.044
-27.193 58.882 0.749 0.044
-28.06 58.616 0.744 0.043
-28.925 58.437 0.741 0.043
-29.789 58.31 0.738 0.043
-30.648 58.218 0.736 0.043
-31.503 58.148 0.735 0.043
-32.351 58.092 0.734 0.043
-33.192 58.048 0.733 0.043
-34.022 58.01 0.732 0.043
-34.842 57.979 0.732 0.043
-35.65 57.952 0.731 0.043
-36.445 57.929 0.731 0.043
-37.226 57.909 0.731 0.043
-37.991 57.891 0.73 0.043
-38.741 57.876 0.73 0.043
-39.473 57.862 0.73 0.043
-40.188 57.849 0.729 0.042
-40.885 57.838 0.729 0.042
-41.563 57.828 0.729 0.042
-42.222 57.819 0.729 0.042
-42.861 57.81 0.729 0.042
-43.481 57.803 0.728 0.042
-44.081 57.796 0.728 0.042
-44.661 57.789 0.728 0.042
-45.22 57.784 0.728 0.042
-45.76 57.778 0.728 0.042
-46.28 57.773 0.728 0.042
-46.781 57.769 0.728 0.042
-47.262 57.764 0.728 0.042
-47.724 57.76 0.728 0.042
-48.167 57.757 0.728 0.042
-48.592 57.753 0.728 0.042
-48.999 57.75 0.727 0.042
-49.388 57.747 0.727 0.042
-49.76 56.133 0.707 0.041
