2007-06-01 00:00:00  100 2
-0.0 21.803 0.449 0.032
-0.067 21.804 0.449 0.032
-0.137 21.804 0.449 0.032
-0.212 21.804 0.449 0.032
-0.292 21.804 0.449 0.032
-0.376 21.804 0.449 0.032
-0.464 21.805 0.449 0.032
-0.558 21.805 0.449 0.032
-0.658 21.805 0.449 0.032
-0.763 21.805 0.449 0.032
-0.875 21.805 0.449 0.032
-0.992 21.805 0.449 0.032
-1.117 21.805 0.449 0.032
-1.249 21.805 0.449 0.032
-1.388 21.805 0.449 0.032
-1.535 21.805 0.449 0.032
-1.69 21.805 0.449 0.032
-1.853 21.805 0.449 0.032
-2.026 21.805 0.449 0.032
-2.209 21.805 0.449 0.032
-2.401 21.805 0.449 0.032
-2.604 21.805 0.449 0.032
-2.817 21.805 0.449 0.032
-3.042 21.805 0.449 0.032
-3.279 21.805 0.449 0.032
-3.528 21.805 0.449 0.032
-3.79 21.804 0.449 0.032
-4.065 21.804 0.449 0.032
-4.355 21.804 0.449 0.032
-4.658 21.803 0.449 0.032
-4.977 21.803 0.449 0.032
-5.311 21.802 0.449 0.032
-5.661 21.801 0.449 0.032
-6.028 21.8 0.449 0.032
-6.411 21.799 0.449 0.032
-6.812 21.797 0.449 0.032
-7.231 21.795 0.449 0.032
-7.668 21.793 0.449 0.032
-8.124 21.79 0.449 0.032
-8.598 21.787 0.449 0.032
-9.092 21.784 0.449 0.032
-9.606 21.781 0.449 0.032
-10.139 21.776 0.449 0.032
-10.692 21.772 0.449 0.032
-11.265 21.767 0.449 0.032
-11.858 21.76 0.449 0.032
-12.471 21.754 0.449 0.032
-13.104 21.746 0.449 0.032
-13.757 21.736 0.449 0.032
-14.428 21.725 0.449 0.032
-15.119 21.711 0.448 0.032
-15.828 21.693 0.448 0.032
-16.555 21.667 0.448 0.032
-17.299 21.62 0.447 0.032
-18.059 21.513 0.445 0.032
-18.835 21.115 0.437 0.032
-19.625 19.756 0.41 0.03
-20.429 17.576 0.364 0.027
-21.245 13.929 0.286 0.022
-22.072 9.919 0.2 0.015
-22.909 6.766 0.134 0.01
-23.755 4.786 0.093 0.007
-24.608 4.546 0.088 0.006
-25.466 4.472 0.086 0.006
-26.328 4.439 0.086 0.006
-27.193 4.421 0.085 0.006
-28.06 4.41 0.085 0.006
-28.925 4.403 0.085 0.006
-29.789 4.398 0.085 0.006
-30.648 4.394 0.085 0.006
-31.503 4.391 0.085 0.006
-32.351 4.389 0.084 0.006
-33.192 4.387 0.084 0.006
-34.022 4.386 0.084 0.006
-34.842 4.384 0.084 0.006
-35.65 4.383 0.084 0.006
-36.445 4.383 0.084 0.006
-37.226 4.382 0.084 0.006
-37.991 4.381 0.084 0.006
-38.741 4.38 0.084 0.006
-39.473 4.38 0.084 0.006
-40.188 4.379 0.084 0.006
-40.885 4.379 0.084 0.006
-41.563 4.379 0.084 0.006
-42.222 4.378 0.084 0.006
-42.861 4.378 0.084 0.006
-43.481 4.378 0.084 0.006
-44.081 4.377 0.084 0.006
-44.661 4.377 0.084 0.006
-45.22 4.377 0.084 0.006
-45.76 4.377 0.084 0.006
-46.28 4.377 0.084 0.006
-46.781 4.376 0.084 0.006
-47.262 4.376 0.084 0.006
-47.724 4.376 0.084 0.006
-48.167 4.376 0.084 0.006
-48.592 4.376 0.084 0.006
-48.999 4.376 0.084 0.006
-49.388 4.376 0.084 0.006
-49.76 4.375 0.084 0.006
