2014-06-01 00:00:00  100 2
-0.0 19.589 0.334 0.038
-0.067 19.589 0.334 0.038
-0.137 19.589 0.334 0.038
-0.212 19.589 0.334 0.038
-0.292 19.589 0.334 0.038
-0.376 19.589 0.334 0.038
-0.464 19.589 0.334 0.038
-0.558 19.589 0.334 0.038
-0.658 19.589 0.334 0.038
-0.763 19.589 0.334 0.038
-0.875 19.589 0.334 0.038
-0.992 19.589 0.334 0.038
-1.117 19.589 0.334 0.038
-1.249 19.589 0.334 0.038
-1.388 19.589 0.334 0.038
-1.535 19.589 0.334 0.038
-1.69 19.589 0.334 0.038
-1.853 19.589 0.334 0.038
-2.026 19.589 0.334 0.038
-2.209 19.589 0.334 0.038
-2.401 19.59 0.334 0.038
-2.604 19.59 0.334 0.038
-2.817 19.59 0.334 0.038
-3.042 19.59 0.334 0.038
-3.279 19.59 0.334 0.038
-3.528 19.591 0.334 0.038
-3.79 19.591 0.334 0.038
-4.065 19.591 0.334 0.038
-4.355 19.592 0.334 0.038
-4.658 19.593 0.334 0.038
-4.977 19.594 0.334 0.038
-5.311 19.595 0.334 0.038
-5.661 19.597 0.334 0.038
-6.028 19.601 0.334 0.038
-6.411 19.608 0.334 0.038
-6.812 19.617 0.334 0.038
-7.231 19.627 0.334 0.038
-7.668 19.639 0.335 0.038
-8.124 19.654 0.335 0.038
-8.598 19.675 0.335 0.038
-9.092 19.703 0.336 0.038
-9.606 19.739 0.337 0.039
-10.139 19.792 0.338 0.039
-10.692 19.888 0.34 0.039
-11.265 20.068 0.345 0.039
-11.858 20.344 0.352 0.04
-12.471 20.777 0.364 0.041
-13.104 21.047 0.375 0.042
-13.757 20.766 0.374 0.042
-14.428 20.396 0.37 0.041
-15.119 20.061 0.365 0.041
-15.828 19.702 0.36 0.04
-16.555 19.283 0.353 0.039
-17.299 18.772 0.344 0.038
-18.059 18.103 0.331 0.037
-18.835 17.244 0.314 0.035
-19.625 16.397 0.297 0.033
-20.429 15.843 0.286 0.032
-21.245 15.564 0.28 0.031
-22.072 15.43 0.277 0.031
-22.909 15.361 0.276 0.031
-23.755 15.324 0.275 0.031
-24.608 15.301 0.275 0.031
-25.466 15.287 0.274 0.031
-26.328 15.278 0.274 0.031
-27.193 15.271 0.274 0.031
-28.06 15.266 0.274 0.031
-28.925 15.263 0.274 0.031
-29.789 15.26 0.274 0.031
-30.648 15.258 0.274 0.031
-31.503 15.256 0.274 0.03
-32.351 15.255 0.274 0.03
-33.192 15.253 0.274 0.03
-34.022 15.253 0.274 0.03
-34.842 15.252 0.273 0.03
-35.65 15.251 0.273 0.03
-36.445 15.25 0.273 0.03
-37.226 15.25 0.273 0.03
-37.991 15.249 0.273 0.03
-38.741 15.249 0.273 0.03
-39.473 15.248 0.273 0.03
-40.188 15.248 0.273 0.03
-40.885 15.248 0.273 0.03
-41.563 15.248 0.273 0.03
-42.222 15.247 0.273 0.03
-42.861 15.247 0.273 0.03
-43.481 15.247 0.273 0.03
-44.081 15.247 0.273 0.03
-44.661 15.246 0.273 0.03
-45.22 15.246 0.273 0.03
-45.76 15.246 0.273 0.03
-46.28 15.246 0.273 0.03
-46.781 15.246 0.273 0.03
-47.262 15.246 0.273 0.03
-47.724 15.246 0.273 0.03
-48.167 15.246 0.273 0.03
-48.592 15.245 0.273 0.03
-48.999 15.245 0.273 0.03
-49.388 15.245 0.273 0.03
-49.76 15.245 0.273 0.03
