2014-11-01 00:00:00  100 2
-0.0 6.423 0.087 0.013 0.167
-0.065 6.423 0.087 0.013 0.167
-0.135 6.423 0.087 0.013 0.167
-0.208 6.422 0.087 0.013 0.167
-0.286 6.422 0.087 0.013 0.167
-0.368 6.422 0.087 0.013 0.167
-0.455 6.421 0.087 0.013 0.167
-0.547 6.421 0.087 0.013 0.167
-0.645 6.421 0.087 0.013 0.167
-0.748 6.42 0.087 0.013 0.167
-0.857 6.42 0.087 0.013 0.167
-0.973 6.419 0.087 0.013 0.167
-1.095 6.418 0.087 0.013 0.167
-1.224 6.418 0.087 0.013 0.167
-1.36 6.417 0.087 0.013 0.167
-1.504 6.416 0.087 0.013 0.167
-1.656 6.416 0.087 0.013 0.167
-1.816 6.415 0.087 0.013 0.167
-1.986 6.414 0.087 0.013 0.167
-2.165 6.413 0.087 0.013 0.167
-2.353 6.411 0.087 0.013 0.167
-2.552 6.41 0.087 0.013 0.167
-2.761 6.409 0.087 0.013 0.167
-2.981 6.407 0.087 0.013 0.167
-3.213 6.405 0.087 0.013 0.167
-3.458 6.403 0.087 0.013 0.167
-3.714 6.401 0.086 0.013 0.167
-3.984 6.398 0.086 0.013 0.167
-4.268 6.395 0.086 0.013 0.167
-4.566 6.392 0.086 0.013 0.167
-4.878 6.388 0.086 0.013 0.167
-5.205 6.383 0.086 0.013 0.167
-5.548 6.378 0.086 0.013 0.167
-5.908 6.373 0.086 0.013 0.167
-6.284 6.366 0.086 0.013 0.167
-6.677 6.358 0.086 0.013 0.167
-7.087 6.349 0.086 0.013 0.167
-7.515 6.338 0.086 0.013 0.167
-7.962 6.326 0.086 0.013 0.167
-8.427 6.312 0.086 0.013 0.167
-8.911 6.295 0.086 0.013 0.167
-9.414 6.275 0.085 0.013 0.167
-9.937 6.251 0.085 0.013 0.166
-10.479 6.224 0.085 0.013 0.166
-11.041 6.192 0.085 0.013 0.165
-11.622 6.156 0.084 0.013 0.165
-12.223 6.117 0.084 0.012 0.164
-12.843 6.072 0.083 0.012 0.163
-13.482 6.02 0.083 0.012 0.162
-14.141 5.978 0.082 0.012 0.161
-14.817 5.945 0.082 0.012 0.161
-15.512 5.917 0.082 0.012 0.16
-16.224 5.895 0.081 0.012 0.159
-16.954 5.877 0.081 0.012 0.159
-17.699 5.862 0.081 0.012 0.159
-18.459 5.849 0.081 0.012 0.158
-19.233 5.837 0.08 0.012 0.158
-20.021 5.827 0.08 0.012 0.158
-20.821 5.819 0.08 0.012 0.157
-21.632 5.811 0.08 0.012 0.157
-22.452 5.804 0.08 0.012 0.157
-23.281 5.798 0.08 0.012 0.157
-24.117 5.793 0.08 0.012 0.156
-24.958 5.788 0.08 0.012 0.156
-25.803 5.783 0.08 0.012 0.156
-26.651 5.779 0.08 0.012 0.156
-27.5 5.775 0.08 0.012 0.156
-28.348 5.771 0.08 0.012 0.156
-29.194 5.768 0.08 0.012 0.156
-30.037 5.765 0.08 0.012 0.155
-30.875 5.762 0.079 0.012 0.155
-31.706 5.76 0.079 0.012 0.155
-32.529 5.757 0.079 0.012 0.155
-33.344 5.755 0.079 0.012 0.155
-34.147 5.753 0.079 0.012 0.155
-34.939 5.751 0.079 0.012 0.155
-35.718 5.749 0.079 0.012 0.155
-36.483 5.747 0.079 0.012 0.155
-37.234 5.746 0.079 0.012 0.155
-37.968 5.744 0.079 0.012 0.155
-38.686 5.743 0.079 0.012 0.155
-39.387 5.741 0.079 0.012 0.155
-40.07 5.74 0.079 0.012 0.155
-40.734 5.739 0.079 0.012 0.155
-41.38 5.738 0.079 0.012 0.155
-42.007 5.736 0.079 0.012 0.155
-42.614 5.735 0.079 0.012 0.154
-43.202 5.735 0.079 0.012 0.154
-43.77 5.734 0.079 0.012 0.154
-44.318 5.733 0.079 0.012 0.154
-44.847 5.732 0.079 0.012 0.154
-45.357 5.731 0.079 0.012 0.154
-45.848 5.731 0.079 0.012 0.154
-46.319 5.73 0.079 0.012 0.154
-46.772 5.729 0.079 0.012 0.154
-47.206 5.729 0.079 0.012 0.154
-47.622 5.728 0.079 0.012 0.154
-48.021 5.728 0.079 0.012 0.154
-48.403 5.727 0.079 0.012 0.154
-48.767 5.727 0.079 0.012 0.154
