2014-11-01 00:00:00  100 2
-0.0 0.022 0.0 0.0 0.0
-0.065 0.023 0.0 0.0 0.0
-0.135 0.023 0.0 0.0 0.0
-0.208 0.023 0.0 0.0 0.0
-0.286 0.024 0.0 0.0 0.0
-0.368 0.024 0.0 0.0 0.0
-0.455 0.024 0.0 0.0 0.0
-0.547 0.024 0.0 0.0 0.0
-0.645 0.024 0.0 0.0 0.0
-0.748 0.025 0.0 0.0 0.0
-0.857 0.025 0.0 0.0 0.0
-0.973 0.025 0.0 0.0 0.0
-1.095 0.025 0.0 0.0 0.0
-1.224 0.025 0.0 0.0 0.0
-1.36 0.025 0.0 0.0 0.0
-1.504 0.025 0.0 0.0 0.0
-1.656 0.025 0.0 0.0 0.0
-1.816 0.026 0.0 0.0 0.0
-1.986 0.026 0.0 0.0 0.0
-2.165 0.026 0.0 0.0 0.0
-2.353 0.026 0.0 0.0 0.0
-2.552 0.026 0.0 0.0 0.0
-2.761 0.026 0.0 0.0 0.0
-2.981 0.026 0.0 0.0 0.0
-3.213 0.026 0.0 0.0 0.0
-3.458 0.026 0.0 0.0 0.0
-3.714 0.027 0.0 0.0 0.0
-3.984 0.027 0.0 0.0 0.0
-4.268 0.027 0.0 0.0 0.0
-4.566 0.027 0.0 0.0 0.0
-4.878 0.027 0.0 0.0 0.0
-5.205 0.027 0.0 0.0 0.0
-5.548 0.027 0.0 0.0 0.0
-5.908 0.028 0.0 0.0 0.0
-6.284 0.028 0.0 0.0 0.0
-6.677 0.028 0.0 0.0 0.0
-7.087 0.028 0.0 0.0 0.0
-7.515 0.028 0.0 0.0 0.0
-7.962 0.029 0.0 0.0 0.0
-8.427 0.029 0.0 0.0 0.0
-8.911 0.029 0.0 0.0 0.0
-9.414 0.029 0.0 0.0 0.0
-9.937 0.03 0.0 0.0 0.0
-10.479 0.03 0.0 0.0 0.0
-11.041 0.03 0.0 0.0 0.0
-11.622 0.031 0.0 0.0 0.0
-12.223 0.031 0.0 0.0 0.0
-12.843 0.032 0.0 0.0 0.0
-13.482 0.032 0.0 0.0 0.0
-14.141 0.032 0.0 0.0 0.0
-14.817 0.033 0.0 0.0 0.0
-15.512 0.033 0.0 0.0 0.0
-16.224 0.033 0.0 0.0 0.0
-16.954 0.033 0.0 0.0 0.0
-17.699 0.034 0.0 0.0 0.0
-18.459 0.034 0.0 0.0 0.0
-19.233 0.034 0.0 0.0 0.0
-20.021 0.034 0.0 0.0 0.0
-20.821 0.034 0.0 0.0 0.0
-21.632 0.034 0.0 0.0 0.0
-22.452 0.034 0.0 0.0 0.0
-23.281 0.034 0.0 0.0 0.0
-24.117 0.034 0.0 0.0 0.0
-24.958 0.034 0.0 0.0 0.0
-25.803 0.034 0.0 0.0 0.0
-26.651 0.034 0.0 0.0 0.0
-27.5 0.034 0.0 0.0 0.0
-28.348 0.034 0.0 0.0 0.0
-29.194 0.034 0.0 0.0 0.0
-30.037 0.034 0.0 0.0 0.0
-30.875 0.034 0.0 0.0 0.0
-31.706 0.034 0.0 0.0 0.0
-32.529 0.034 0.0 0.0 0.0
-33.344 0.034 0.0 0.0 0.0
-34.147 0.034 0.0 0.0 0.0
-34.939 0.034 0.0 0.0 0.0
-35.718 0.034 0.0 0.0 0.0
-36.483 0.034 0.0 0.0 0.0
-37.234 0.034 0.0 0.0 0.0
-37.968 0.034 0.0 0.0 0.0
-38.686 0.034 0.0 0.0 0.0
-39.387 0.034 0.0 0.0 0.0
-40.07 0.034 0.0 0.0 0.0
-40.734 0.034 0.0 0.0 0.0
-41.38 0.035 0.0 0.0 0.0
-42.007 0.035 0.0 0.0 0.0
-42.614 0.035 0.0 0.0 0.0
-43.202 0.035 0.0 0.0 0.0
-43.77 0.035 0.0 0.0 0.0
-44.318 0.035 0.0 0.0 0.0
-44.847 0.035 0.0 0.0 0.0
-45.357 0.035 0.0 0.0 0.0
-45.848 0.035 0.0 0.0 0.0
-46.319 0.035 0.0 0.0 0.0
-46.772 0.035 0.0 0.0 0.0
-47.206 0.035 0.0 0.0 0.0
-47.622 0.035 0.0 0.0 0.0
-48.021 0.035 0.0 0.0 0.0
-48.403 0.035 0.0 0.0 0.0
-48.767 0.025 0.0 0.0 0.0
