Station,Date,Depth,NITRITE,NITRATE+NIT,AMMONIA,SILICATE,PHOSPHATE,Frozen,Filtered,QC
,,,然,然,然,然,然,,,
L4,17/01/2000,0,0.07,8.05,0.1,3.62,0.35,y,n,n
L4,02/02/2000,0,0.17,7.4,0.11,3.23,0.35,y,n,n
L4,21/02/2000,0,0.31,7.78,0.29,2.9,0.38,y,n,n
L4,13/03/2000,0,0.3,5.52,0.13,2.38,0.31,y,n,n
L4,20/03/2000,0,0.36,5.19,0.22,2.15,0.3,y,n,n
L4,27/03/2000,0,0.39,4.99,0.53,2.22,0.3,y,n,n
L4,03/04/2000,0,0.31,4.34,0.47,1.76,0.28,y,n,n
L4,11/04/2000,0,0.13,2.33,0.33,0.88,0.16,y,n,n
L4,12/06/2000,0,0.05,0.09,0.1,0.46,0.05,y,n,n
L4,19/06/2000,0,0.05,0.21,0.18,0.13,0.06,y,n,n
L4,17/07/2000,0,0.05,0.05,0.13,0.13,0.05,y,n,n
L4,21/08/2000,0,0.05,0.25,0.1,1.89,0.05,y,n,n
L4,04/09/2000,0,0.06,0.21,0.58,2.93,0.05,y,n,n
L4,12/10/2000,0,0.18,3.89,0.1,5.35,0.21,y,n,n
L4,16/10/2000,0,0.44,8.43,0.73,7.3,0.21,y,n,n
L4,26/10/2000,0,0.22,7.74,0.16,6.39,0.28,y,n,n
L4,13/11/2000,0,0.2,9.29,0.21,5.48,0.41,y,n,n
L4,19/11/2000,0,0.21,9.72,0.35,5.61,0.41,y,n,n
L4,16/01/2001,0,0.08,8.47,,4.96,0.49,y,n,n
L4,19/02/2001,0,0.09,4.57,,2.9,0.21,y,n,n
L4,27/02/2001,0,0.27,6.05,,3.78,0.33,y,n,n
L4,04/03/2001,0,0.45,5.38,,2.32,0.25,y,n,n
L4,17/04/2001,0,0.43,5.09,,2.21,0.22,y,n,n
L4,22/04/2001,0,0.32,1.18,,1.14,0.07,y,n,n
L4,29/04/2001,0,0.47,0.72,,1.12,0.04,y,n,n
L4,07/05/2001,0,0.19,0.42,,0.67,0.04,y,n,n
L4,07/05/2001,0,0.18,0.72,,1.74,0.04,y,n,n
L4,13/05/2001,0,0.51,0.71,,1.06,0.06,y,n,n
L4,20/05/2001,0,0.02,0.05,,0.37,0.04,y,n,n
L4,30/05/2001,0,0.29,0.48,,0.82,0.04,y,n,n
L4,03/06/2001,0,0.32,0.7,,0.75,0.04,y,n,n
L4,01/07/2001,0,0.07,0.32,,0.46,0.04,y,n,n
L4,08/07/2001,0,0.27,0.94,,1.54,0.06,y,n,n
L4,22/07/2001,0,0.34,0.63,,1.2,0.04,y,n,n
L4,29/07/2001,0,0.24,0.51,,0.57,0.04,y,n,n
L4,12/08/2001,0,0.17,0.48,,0.53,0.15,y,n,n
L4,18/08/2001,0,0.25,0.68,,0.55,0.05,y,n,n
L4,29/08/2001,0,0.38,0.7,,1.02,0.12,y,n,n
L4,02/09/2001,0,0.31,0.63,,1.39,0.09,y,n,n
L4,09/09/2001,0,0.43,0.72,,2.06,0.04,y,n,n
L4,16/09/2001,0,0.47,0.66,,1.33,0.04,y,n,n
L4,23/09/2001,0,0.49,1.24,,1.51,0.07,y,n,n
L4,21/10/2001,0,0.43,1.18,,2.68,0.08,y,n,n
L4,04/11/2001,0,0.35,1.51,,2.93,0.12,y,n,n
L4,18/11/2001,0,0.13,1.53,,2.59,0.14,y,n,n
L4,25/11/2001,0,0.22,1.75,,3,0.22,y,n,n
L4,09/12/2001,0,0.14,2.07,,3.13,0.18,y,n,n
L4,16/12/2001,0,0.12,2.35,,3.3,0.17,y,n,n
L4,07/01/2002,0,0.11,1.89,,2.21,0.14,y,n,n
L4,12/02/2002,0,0.1,2.5,,3.03,0.24,y,n,n
L4,07/04/2002,0,0.32,2.21,,1.07,0.59,y,n,n
L4,30/04/2002,0,0.12,0.93,,0.84,0.37,y,n,n
L4,06/05/2002,0,0.02,0.16,,0.74,0.28,y,n,n
L4,16/05/2002,0,0.19,0.28,,0.74,0.24,y,n,n
L4,27/05/2002,0,0.02,,,3.33,,y,n,n
L4,11/06/2002,0,0.01,0.2,,0.44,0.18,y,n,n
L4,18/06/2002,0,0.02,0.17,,0.72,0.32,y,n,n
L4,24/06/2002,0,0.1,0.24,,,0.28,y,n,n
L4,01/07/2002,0,0.08,0.08,,0.15,0.26,y,n,n
L4,09/07/2002,0,0.1,0.2,,,0.17,y,n,n
L4,16/07/2002,0,0,0.01,,0.21,0.15,y,n,n
